module:input:0:dim1	module:input:0:dim2	module:input:0:dim3	module:measure:PAPI:PAPI_L2_DCM	module:measure:PAPI:PAPI_L2_DC_MR	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:rssUsage	module:output:0:vmUsage
40	40	40	3329	0.5901435915617799	8330952	0.001868	1425448020.141569	1425448020.139695	1244	276
40	40	40	3386	0.591028102635713	8330952	0.001813	1425452774.478089	1425452774.47627	1244	276
40	40	40	3342	0.5792027729636049	8330952	0.001863	1425457529.971153	1425457529.969283	1244	276
45	45	45	3254	0.5603581883933184	11690173	0.00244	1425448022.338392	1425448022.335945	1244	284
45	45	45	3282	0.5429280397022332	11690173	0.002378	1425452776.672915	1425452776.670531	1244	284
45	45	45	3349	0.5648507336819025	11690173	0.00239	1425457532.172599	1425457532.170203	1244	284
10	10	10	3159	0.6472034419176398	490057	0.000492	1425448013.535325	1425448013.534826	1212	128
4	4	4	3154	0.6562630045776113	370020	0.000475	1425448010.244262	1425448010.243781	1212	128
4	4	4	3114	0.6562697576396207	370020	0.000452	1425452764.572941	1425452764.572482	1212	128
4	4	4	3168	0.6679316888045541	370020	0.000465	1425457520.061091	1425457520.06062	1212	128
5000	5000	5000	691357165	0.02220892848656679	15376428070543	2592.955195	1425452762.020093	1425450169.064847	583360	586076
5000	5000	5000	712115740	0.02288026661495873	15376428080940	2594.518049	1425457517.497709	1425454922.979609	583360	586076
5000	5000	5000	726976471	0.02335298726337343	15376428082510	2595.230526	1425462273.667089	1425459678.436512	583360	586076
500	500	500	1028570	0.065487984393464	15389624552	2.596204	1425448041.49098	1425448038.894724	3280	5996
500	500	500	919675	0.0586059136803252	15389624174	2.572298	1425452795.774013	1425452793.201708	7080	5996
500	500	500	932394	0.05937989263149636	15389624549	2.583543	1425457551.28118	1425457548.697586	3280	5996
50	50	50	3398	0.4433137638617091	15883976	0.003156	1425448023.408658	1425448023.405495	1240	296
10	10	10	3305	0.6787841445882111	490058	0.000509	1425452767.87778	1425452767.877264	1212	128
50	50	50	3469	0.4688471415056089	15883975	0.003169	1425452777.739708	1425452777.736532	1240	296
50	50	50	3470	0.4647113968126423	15883975	0.003086	1425457533.239609	1425457533.236516	1240	296
600	600	600	1991841	0.07326776864988284	26588898090	4.46494	1425448047.068087	1425448042.60314	9660	8576
600	600	600	1906044	0.07010522787185634	26588898474	4.457659	1425452801.351868	1425452796.894159	5860	8576
600	600	600	2061847	0.07581369259384617	26588898423	4.459195	1425457556.855644	1425457552.396399	5860	8576
60	60	60	3463	0.2728060501024106	27139877	0.005133	1425448024.513017	1425448024.507877	1244	324
60	60	60	3488	0.2861831309484739	27139877	0.00497	1425452778.857545	1425452778.852569	1244	324
60	60	60	3317	0.2696967233108383	27139877	0.005118	1425457534.342377	1425457534.337252	1244	324
6	6	6	3107	0.6454092230992937	389896	0.000461	1425448011.339188	1425448011.338721	1212	128
6	6	6	3190	0.6570545829042225	389897	0.00049	1425452765.670765	1425452765.670268	1212	128
10	10	10	3132	0.641408969895556	490057	0.000477	1425457523.385283	1425457523.3848	1212	128
6	6	6	3164	0.6612330198537095	389896	0.00046	1425457521.159325	1425457521.158859	1212	128
700	700	700	2995407	0.06935111067440383	42217313063	7.079437	1425448055.282837	1425448048.203349	8908	11624
700	700	700	3327097	0.07701520722435748	42217313055	7.075839	1425452809.541159	1425452802.465269	8908	11624
700	700	700	3205605	0.07420690109214258	42217313121	7.086086	1425457565.061471	1425457557.975332	8908	11624
70	70	70	3633	0.07759338758249504	42835179	0.007849	1425448025.621749	1425448025.613894	1324	344
70	70	70	3511	0.07532556692626204	42835179	0.007795	1425452779.961208	1425452779.953406	1324	344
70	70	70	3486	0.07453655198956574	42835179	0.007597	1425457535.441164	1425457535.43356	1324	344
800	800	800	4622573	0.07168694275331668	63012868554	10.555738	1425448066.971473	1425448056.415682	12424	15140
800	800	800	4634022	0.07184590605397025	63012868655	10.553434	1425452821.218918	1425452810.665432	12424	15140
800	800	800	4787150	0.0742380360360637	63012868563	10.55748	1425457576.746588	1425457566.189055	12424	15140
110	110	110	4152	0.02448604083365769	164770400	0.028287	1425448030.097401	1425448030.069108	1432	520
80	80	80	3586	0.05303556903054056	63703962	0.011452	1425448026.731333	1425448026.719874	1360	276
80	80	80	3589	0.05301172786623733	63703962	0.011132	1425452781.070461	1425452781.059323	1360	276
80	80	80	3681	0.0544607190412783	63703962	0.01139	1425457536.547949	1425457536.536552	1360	276
8	8	8	3145	0.6415748674010608	427942	0.000498	1425448012.438608	1425448012.438103	1212	128
8	8	8	3096	0.6441947565543071	427941	0.000463	1425452766.767989	1425452766.767519	1212	128
8	8	8	3250	0.6651657797789603	427941	0.000521	1425457522.265842	1425457522.265315	1212	128
900	900	900	6718345	0.0731217316356931	89713565043	15.020494	1425448083.133669	1425448068.113123	16408	19124
900	900	900	6527837	0.07104424567182489	89713565255	15.010684	1425452837.379143	1425452822.368407	16408	19124
900	900	900	6772067	0.07371381950744656	89713565026	15.009807	1425457592.895301	1425457577.885442	16408	19124
90	90	90	3627	0.03823771269530014	90492067	0.016211	1425448027.849075	1425448027.832857	1400	316
