module:input:0:probDimension	module:pub_input::blockSize	module:pub_input::mem_max	module:pub_input::nnz	module:pub_input::t_max	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:rssUsage	module:output:0:vmUsage
131072	2	100	40	5	0.730706	1425331247.891652	1425331247.160929	968	228
131072	2	100	40	5	0.633618	1425334045.377793	1425334044.744158	740	0
131072	2	100	40	5	0.633661	1425336834.80315	1425336834.169472	2388	0
262144	1	1000	200	5	8.154601	1425331679.867302	1425331671.712685	3092	744
131072	2	50000	40	5	0.633667	1425333633.541099	1425333632.907415	740	0
131072	2	50000	40	5	0.649354	1425336420.109912	1425336419.460445	-3100	0
131072	2	50000	40	5	0.639882	1425339218.055812	1425339217.415913	740	0
8388608	2	5000	40	5	0.638931	1425332286.397139	1425332285.75819	740	0
8388608	2	5000	40	5	0.731382	1425335078.458484	1425335077.727085	968	228
8388608	2	5000	40	5	0.637976	1425337870.896324	1425337870.258332	740	0
1048576	2	500	40	5	0.749057	1425331430.034937	1425331429.285772	-2876	228
1048576	2	500	40	5	0.7326279999999999	1425334227.645465	1425334226.91282	968	228
1048576	2	500	40	5	0.633837	1425337017.20476	1425337016.570903	740	0
1048576	2	10000	500	5	9.097417999999999	1425333029.510293	1425333020.412859	2848	488
262144	1	1000	200	5	8.138878999999999	1425334476.885226	1425334468.746331	3104	744
1048576	2	10000	500	5	9.097495	1425335818.224598	1425335809.127086	2836	488
1048576	2	10000	500	5	7.942207	1425338612.574455	1425338604.632232	2836	488
131072	2	1000	500	5	9.106555999999999	1425331822.344636	1425331813.238064	2836	488
131072	2	1000	500	5	9.113797999999999	1425334619.546916	1425334610.433101	2836	488
131072	2	1000	500	5	9.111017	1425337408.763743	1425337399.652709	2836	488
131072	2	50000	500	5	7.930557	1425333699.78685	1425333691.856277	2848	488
131072	2	50000	500	5	7.931572	1425336486.483227	1425336478.55164	2836	488
131072	2	50000	500	5	9.09051	1425339286.012246	1425339276.92172	2848	488
524288	2	5000	500	5	7.948999	1425332353.586947	1425332345.637932	2836	488
524288	2	5000	500	5	7.945911	1425335144.558593	1425335136.612665	2848	488
262144	1	1000	200	5	7.419447	1425337265.984457	1425337258.564993	3104	744
524288	2	5000	500	5	9.111799	1425337939.170115	1425337930.0583	2836	488
16777216	2	10000	50	5	0.775026	1425332965.124362	1425332964.349319	740	0
16777216	2	10000	50	5	0.774429	1425335754.295367	1425335753.520921	740	0
16777216	2	10000	50	5	0.909032	1425338549.885385	1425338548.976239	-2908	228
1048576	2	1000	50	5	0.907465	1425331758.316338	1425331757.408764	-2872	228
1048576	2	1000	50	5	0.774363	1425334555.216568	1425334554.442188	740	0
1048576	2	1000	50	5	0.896002	1425337344.663189	1425337343.767171	968	228
131072	2	100	50	5	0.778258	1425331251.492074	1425331250.713799	740	0
131072	2	100	50	5	0.794067	1425334049.001502	1425334048.207322	-3100	0
131072	2	100	50	5	0.778389	1425336838.393522	1425336837.615117	740	0
131072	1	50000	1000	5	42.519041	1425333625.354559	1425333582.835502	3068	752
131072	1	50000	200	5	7.384048	1425333427.319863	1425333419.935799	3104	744
131072	2	50000	50	5	0.772818	1425333637.148698	1425333636.375863	740	0
131072	2	50000	50	5	0.7725610000000001	1425336423.713546	1425336422.940968	740	0
131072	2	50000	50	5	0.772968	1425339221.659778	1425339220.886793	740	0
8388608	2	5000	50	5	0.785845	1425332290.040635	1425332289.25468	-3104	0
8388608	2	5000	50	5	0.775008	1425335082.059727	1425335081.284703	740	0
8388608	2	5000	50	5	0.895554	1425337874.628049	1425337873.732478	968	228
524288	2	500	50	5	0.895772	1425331433.769379	1425331432.873592	968	228
524288	2	500	50	5	0.774796	1425334231.273217	1425334230.498405	740	0
524288	2	500	50	5	0.774853	1425337020.818851	1425337020.043981	2368	0
8388608	2	10000	60	5	1.072255	1425332969.355414	1425332968.283143	972	232
131072	1	50000	200	5	7.387087	1425336215.423266	1425336208.036162	3104	744
8388608	2	10000	60	5	0.9272550000000001	1425335758.383569	1425335757.456298	740	0
8388608	2	10000	60	5	0.929017	1425338553.991734	1425338553.062701	2360	0
