module:input:0:probDimension	module:pub_input::blockSize	module:pub_input::mem_max	module:pub_input::nnz	module:pub_input::t_max	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:blocked_mflop_median	module:output:0:unblocked_mflop_max
131072	1	10000	80	5	0.000123	1425335493.672171	1425335493.672042	176.6466061398305	353.293212279661
131072	1	10000	80	5	0.000122	1425338289.844902	1425338289.844773	177.5721449302841	355.1442898605682
1048576	1	1000	80	5	0.000124	1425331630.90093	1425331630.900798	177.4446907804377	354.8893815608754
1048576	1	1000	80	5	0.000126	1425334428.352122	1425334428.351988	176.485484487419	352.9709689748381
1048576	1	1000	80	5	0.000124	1425337217.372471	1425337217.37234	175.1608914672696	350.3217829345392
131072	1	50000	80	5	0.000123	1425333379.219132	1425333379.219002	177.831126551265	355.66225310253
131072	1	50000	80	5	0.000124	1425336167.351301	1425336167.35117	178.0080435108902	356.0160870217805
131072	1	50000	80	5	0.00013	1425338962.793772	1425338962.793635	176.1980685363977	352.3961370727953
4194304	1	5000	80	5	0.000127	1425332027.552359	1425332027.552226	176.4771280799508	352.9542561599015
4194304	1	5000	80	5	0.000124	1425334825.462128	1425334825.461998	177.8268842901839	355.6537685803678
4194304	1	5000	80	5	0.000123	1425337614.263409	1425337614.263279	176.5573964484157	353.1147928968314
524288	1	500	80	5	0.000126	1425331370.723903	1425331370.72377	177.6509728935273	355.3019457870546
524288	1	500	80	5	0.00013	1425334168.730811	1425334168.730674	176.3863209043654	352.7726418087308
524288	1	500	80	5	0.000123	1425336958.287243	1425336958.287113	177.6109404882028	355.2218809764057
131072	1	10000	90	5	0.000121	1425332714.899034	1425332714.898906	178.7624837052281	357.5249674104563
131072	1	10000	90	5	0.000124	1425335504.860321	1425335504.860189	178.7269037358233	357.4538074716465
131072	1	10000	90	5	0.000124	1425338301.039088	1425338301.038957	180.1223455644738	360.2446911289477
524288	1	1000	90	5	0.000124	1425331642.118907	1425331642.118776	177.6129249434078	355.2258498868157
524288	1	1000	90	5	0.000122	1425334439.55263	1425334439.5525	180.2522074306368	360.5044148612735
524288	1	1000	90	5	0.000122	1425337228.960752	1425337228.960616	180.1971294409004	360.3942588818009
131072	1	50000	90	5	0.000123	1425333390.755315	1425333390.755185	178.119009887728	356.238019775456
131072	1	50000	90	5	0.000122	1425336178.50605	1425336178.50592	180.2238436416287	360.4476872832574
131072	1	50000	90	5	0.000123	1425338974.303446	1425338974.303315	178.7041812956282	357.4083625912564
4194304	1	5000	90	5	0.000124	1425332038.769677	1425332038.769546	178.0133351631399	356.0266703262797
4194304	1	5000	90	5	0.000124	1425334836.709596	1425334836.709465	178.6639148023623	357.3278296047246
4194304	1	5000	90	5	0.000129	1425337625.551823	1425337625.551686	178.2365592266501	356.4731184533002
262144	1	500	90	5	0.000124	1425331382.298933	1425331382.298801	178.775983261737	357.5519665234739
262144	1	500	90	5	0.00013	1425334180.273818	1425334180.273682	180.2464288977025	360.4928577954049
262144	1	500	90	5	0.000121	1425336969.841661	1425336969.841532	178.7047621951369	357.4095243902739
524288	2	10000	1000	5	0.000124	1425333082.773256	1425333082.773126	286.2769840935827	572.5539681871654
524288	2	10000	1000	5	0.00013	1425335871.586786	1425335871.586649	285.678793638111	571.357587276222
524288	2	10000	1000	5	0.000124	1425338668.134652	1425338668.134522	286.359043244316	572.718086488632
131072	2	50000	1000	5	0.000123	1425333752.983953	1425333752.983823	285.7258012882914	571.4516025765828
