module:input:0:alpha	module:input:0:density	module:input:0:numVertex	module:measure:PAPI:PAPI_LD_INS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:convergence	module:output:0:num_iterations
0.85	0.8	100000	199371776	528842220	0.104978	1426649613.501727	1426649613.396742	2.579963501929705e-06	12
0.85	0.2	200000	163897194	431083037	0.07879	1426649396.483982	1426649396.405185	4.226772289800302e-06	14
0.85	0.2	200000	163896782	431083034	0.078634	1426649506.483571	1426649506.404931	4.226772289800302e-06	14
0.85	0.2	200000	163896658	431083035	0.078574	1426649614.978827	1426649614.900246	4.226772289800302e-06	14
0.85	0.3	200000	229738150	605126926	0.114065	1426649398.180142	1426649398.066063	4.332256123899968e-06	14
0.85	0.3	200000	229738222	605126925	0.114039	1426649508.132388	1426649508.018341	4.332256123899968e-06	14
0.85	0.3	200000	229738353	605126926	0.113867	1426649616.627208	1426649616.513334	4.332256123899968e-06	14
0.85	0.4	200000	246434930	650060123	0.127761	1426649400.018644	1426649399.890876	7.893400358572148e-06	12
0.85	0.4	200000	246434801	650060121	0.127603	1426649509.932469	1426649509.804858	7.893400358572148e-06	12
0.85	0.4	200000	246434967	650060123	0.127497	1426649618.4152	1426649618.287695	7.893400358572148e-06	12
0.85	0.5	200000	290792652	768134619	0.154386	1426649402.032649	1426649401.878254	5.497835536610655e-06	12
0.85	0.5	200000	290792145	768134614	0.153817	1426649511.880535	1426649511.726711	5.497835536610655e-06	12
0.85	0.5	200000	290792394	768134616	0.154165	1426649620.365611	1426649620.211439	5.497835536610655e-06	12
0.85	0.6	200000	385848342	1020586336	0.200632	1426649404.238007	1426649404.037367	7.419658181554286e-06	14
0.85	0.6	200000	385847820	1020586336	0.201445	1426649514.006756	1426649513.805302	7.419658181554286e-06	14
0.85	0.6	200000	385847709	1020586337	0.200918	1426649622.487194	1426649622.286268	7.419658181554286e-06	14
0.85	0.7	200000	335399294	888441784	0.179626	1426649406.541497	1426649406.361863	7.735356463956129e-06	11
0.85	0.7	200000	335399105	888441784	0.179887	1426649516.232514	1426649516.052618	7.735356463956129e-06	11
0.85	0.7	200000	335399160	888441784	0.180328	1426649624.704224	1426649624.523887	7.735356463956129e-06	11
0.85	0.8	200000	365170645	968611140	0.209032	1426649408.930307	1426649408.721266	5.560201455760262e-06	11
0.85	0.8	200000	365171857	968611144	0.210098	1426649518.550351	1426649518.340245	5.560201455760262e-06	11
0.85	0.8	200000	365170665	968611144	0.211488	1426649627.031456	1426649626.819959	5.560201455760262e-06	11
0.85	0.2	300000	263271012	692427545	0.126593	1426649410.712062	1426649410.585461	3.713425487708807e-06	15
0.85	0.2	300000	263271034	692427544	0.126368	1426649520.276154	1426649520.149779	3.713425487708807e-06	15
0.85	0.2	300000	263270453	692427544	0.126541	1426649628.749418	1426649628.622869	3.713425487708807e-06	15
0.85	0.3	300000	319432665	841409361	0.157247	1426649412.715839	1426649412.558584	5.136004280166931e-06	13
0.85	0.3	300000	319432014	841409361	0.157288	1426649522.231161	1426649522.073865	5.136004280166931e-06	13
0.85	0.3	300000	319432969	841409360	0.157186	1426649630.699631	1426649630.542437	5.136004280166931e-06	13
0.85	0.4	300000	431756729	1138706190	0.242892	1426649415.019098	1426649414.776149	3.4976365150496e-06	14
0.85	0.4	300000	431712699	1138705992	0.230297	1426649524.443863	1426649524.213558	3.4976365150496e-06	14
0.85	0.4	300000	431715232	1138706019	0.233593	1426649632.922767	1426649632.689165	3.4976365150496e-06	14
0.85	0.5	300000	509217905	1345015623	0.279616	1426649417.557471	1426649417.277847	3.536566144206641e-06	14
0.85	0.5	300000	509216839	1345015624	0.280802	1426649526.920112	1426649526.639301	3.536566144206641e-06	14
0.85	0.5	300000	509217381	1345015629	0.284997	1426649635.408001	1426649635.122995	3.536566144206641e-06	14
0.85	0.6	300000	453727670	1200219128	0.275934	1426649420.286414	1426649420.010472	9.677196082203565e-06	11
0.85	0.6	300000	453725830	1200219127	0.27637	1426649529.555048	1426649529.27867	9.677196082203565e-06	11
0.85	0.6	300000	453725596	1200219130	0.27783	1426649638.046473	1426649637.768634	9.677196082203565e-06	11
