module:input:0:alpha	module:input:0:density	module:input:0:numVertex	module:measure:PAPI:PAPI_LD_INS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:rssUsage	module:output:0:vmUsage
0.85	0.3	100000	221567389	665865563	0.239666	1426649386.791941	1426649386.552267	10020	10380
0.85	0.5	200000	705752246	2098656015	0.721405	1426649401.876632	1426649401.155218	28192	29308
0.85	0.5	200000	705726443	2098656020	0.663289	1426649511.725069	1426649511.06177	28192	29308
0.85	0.5	200000	705734628	2098656059	0.659316	1426649620.209787	1426649619.550461	28192	29308
0.85	0.6	200000	831799628	2477938826	0.859013	1426649404.035676	1426649403.176655	32212	35876
0.85	0.6	200000	831786716	2477938821	0.787331	1426649513.8036	1426649513.016261	32212	35876
0.85	0.6	200000	831781038	2477938824	0.786199	1426649622.284573	1426649621.498366	32212	35876
0.85	0.7	200000	932369252	2775558576	0.96236	1426649406.360116	1426649405.397747	34588	37948
0.85	0.7	200000	932357135	2775558570	0.893299	1426649516.050864	1426649515.157556	34588	37948
0.85	0.7	200000	932358353	2775558571	0.892355	1426649624.522139	1426649623.629774	34588	37948
0.85	0.8	200000	993526712	2950713869	1.020656	1426649408.719465	1426649407.6988	35904	36856
0.85	0.3	100000	221564605	665865564	0.198417	1426649497.130265	1426649496.93184	10020	10380
0.85	0.8	200000	993503909	2950713861	0.95878	1426649518.338443	1426649517.379654	35904	36856
0.85	0.8	200000	993497665	2950713857	0.958465	1426649626.818143	1426649625.859668	35904	36856
0.85	0.2	300000	488999755	1453709936	0.496091	1426649410.583998	1426649410.0879	21800	22508
0.85	0.2	300000	488989883	1453709952	0.442465	1426649520.148322	1426649519.705847	21800	22508
0.85	0.2	300000	488994914	1453709935	0.441351	1426649628.621423	1426649628.180063	21800	22508
0.85	0.3	300000	720412529	2143335995	0.719072	1426649412.556931	1426649411.837849	30496	33528
0.85	0.3	300000	720402573	2143335998	0.667536	1426649522.072189	1426649521.404643	30496	33528
0.85	0.3	300000	720395751	2143335997	0.665261	1426649630.540778	1426649629.875508	30496	33528
0.85	0.4	300000	893582891	2648513579	0.916169	1426649414.774327	1426649413.858148	36568	37264
0.85	0.4	300000	893572938	2648513558	0.842371	1426649524.211723	1426649523.369342	36568	37264
0.85	0.3	100000	221563485	665865563	0.198047	1426649605.625354	1426649605.4273	10020	10380
0.85	0.4	300000	893578085	2648513602	0.847512	1426649632.687315	1426649631.839794	36568	37264
0.85	0.5	300000	1078214789	3196541353	1.093431	1426649417.275902	1426649416.182462	42312	44236
0.85	0.5	300000	1078194037	3196541337	1.036624	1426649526.637348	1426649525.600715	42312	44236
0.85	0.5	300000	1078186553	3196541397	1.039152	1426649635.119491	1426649634.080329	42312	44236
0.85	0.6	300000	1231155468	3645397328	1.289123	1426649420.006502	1426649418.717321	42972	47596
0.85	0.6	300000	1231039105	3645396958	1.197307	1426649529.276601	1426649528.079285	46740	47596
