module:input:0:probDimension	module:pub_input::blockSize	module:pub_input::mem_max	module:pub_input::nnz	module:pub_input::t_max	module:measure:PAPI:PAPI_L2_DCM	module:measure:PAPI:PAPI_L2_DC_MR	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:rssUsage	module:output:0:vmUsage
4194304	1	5000	80	5	87046914	0.6639989920588016	15333930008	2.854923	1425450255.026428	1425450252.171495	3092	756
4194304	1	5000	80	5	87030018	0.663631490504124	15333929996	2.860353	1425453046.780542	1425453043.920179	3080	756
524288	1	500	80	5	118668763	0.6637653752263613	16993503783	3.163316	1425446817.701918	1425446814.538592	3096	756
524288	1	500	80	5	118668103	0.6638631672841256	16993503810	3.157033	1425449604.06115	1425449600.904107	3092	756
131072	1	50000	100	5	147074806	0.6586989347148036	21226987926	3.944927	1425454423.601282	1425454419.656345	3092	756
524288	1	500	80	5	87026037	0.663726685481324	15333928264	2.855006	1425452395.064812	1425452392.209797	3096	756
131072	1	10000	90	5	133021581	0.6616699473539426	19092741157	3.553864	1425448150.234329	1425448146.680455	3096	756
131072	1	10000	90	5	97582251	0.6618115833874313	17228693312	3.212195	1425450938.543106	1425450935.330901	3096	756
131072	1	10000	90	5	132994742	0.6615214281230543	19092741160	3.557533	1425453736.304892	1425453732.747349	3096	756
524288	1	1000	90	5	133036089	0.6617649602313778	19092740473	3.554906	1425447086.892399	1425447083.337482	3120	756
524288	1	1000	90	5	97569969	0.6617289724107422	17228692600	3.2161	1425449872.836517	1425449869.620407	3096	756
524288	1	1000	90	5	132999909	0.6615611602569039	19092740469	3.555595	1425452664.2992	1425452660.743595	3092	756
131072	1	50000	90	5	133044465	0.6618323864251112	19092741508	3.556557	1425448826.219348	1425448822.662781	3080	756
131072	1	50000	90	5	97583766	0.6618295202717381	17228693669	3.216943	1425451613.526107	1425451610.309155	3092	756
131072	1	50000	90	5	97607041	0.6619933645649582	17228693671	3.211344	1425454410.922901	1425454407.711548	3096	756
4194304	1	5000	100	5	107923854	0.6590219632843104	19158468545	3.570732	1425447495.030784	1425447491.460042	3092	756
4194304	1	5000	90	5	97592507	0.6618419723509886	17228694323	3.216234	1425447482.741459	1425447479.525215	3096	756
4194304	1	5000	90	5	97599498	0.6616352033443553	17228694588	3.228814	1425450266.2034	1425450262.974532	-2328	756
4194304	1	5000	90	5	97586923	0.6618823051780857	17228694308	3.218298	1425453057.96722	1425453054.748913	3120	756
262144	1	500	90	5	133045594	0.6618233751749059	19092741931	3.5473	1425446829.198703	1425446825.651393	3096	756
262144	1	500	90	5	97558222	0.6615199754872412	17228694075	3.216296	1425449615.259878	1425449612.043572	3080	756
262144	1	500	90	5	97553845	0.6614604604218003	17228694060	3.216828	1425452406.259807	1425452403.042969	3092	756
524288	2	10000	1000	5	300502516	0.3989014873342876	95261747247	16.495454	1425448518.219347	1425448501.723884	2808	504
524288	2	10000	1000	5	406951237	0.3981742746939584	109960105245	18.758064	1425451303.996395	1425451285.238322	2796	504
524288	2	10000	1000	5	300431032	0.3988353527307829	95261747325	16.499624	1425454105.350451	1425454088.850818	2796	504
131072	2	50000	1000	5	406933322	0.3981306201474374	109960104627	18.74979	1425449189.998129	1425449171.24833	2796	504
4194304	1	5000	100	5	147083320	0.658832960642132	21226988636	3.943892	1425450278.867124	1425450274.923224	3080	756
131072	2	50000	1000	5	406995012	0.3981756031616924	109960104611	18.748377	1425451979.562957	1425451960.814571	2796	504
131072	2	50000	1000	5	300555369	0.3988081960996547	95261746670	16.499681	1425454773.472111	1425454756.972422	2796	504
262144	2	5000	1000	5	300489263	0.3988731763318077	95261747699	16.502429	1425447845.649334	1425447829.146884	2796	504
262144	2	5000	1000	5	300366922	0.3987402932668865	95261747682	16.493093	1425450631.999038	1425450615.505935	2796	504
262144	2	5000	1000	5	406941629	0.3981312967326373	109960105671	18.752613	1425453427.78353	1425453409.030907	2796	504
8388608	2	10000	100	5	46274554	0.4474381311833174	10296384519	1.763885	1425448426.583958	1425448424.820064	2584	244
8388608	2	10000	100	5	34664263	0.4538961947383219	8810011740	1.52743	1425451211.311338	1425451209.783898	2344	0
8388608	2	10000	100	5	47586073	0.4590387013521228	10296384511	1.765409	1425454013.263769	1425454011.49835	2580	244
524288	2	1000	100	5	34406910	0.450434305581182	8810010356	1.538994	1425447228.244316	1425447226.705269	-3084	0
