module:input:0:probDimension	module:pub_input::blockSize	module:pub_input::mem_max	module:pub_input::nnz	module:pub_input::t_max	module:measure:PAPI:PAPI_L2_DCM	module:measure:PAPI:PAPI_L2_DC_MR	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:blocked_mflop_median	module:output:0:unblocked_mflop_max
131072	1	50000	40	5	1120	0.6561218512009374	281743	0.000169	1425451568.524992	1425451568.524817	169.9139741795305	339.827948359061
131072	1	50000	40	5	1832	0.6425815503332164	281842	0.000602	1425454366.001182	1425454366.00057	169.8946768869197	339.7893537738393
8388608	1	5000	40	5	1151	0.6645496535796767	283612	0.000174	1425447437.786177	1425447437.785997	169.4942323666586	338.9884647333172
8388608	1	5000	40	5	1191	0.6778599886169607	283590	0.000176	1425450221.111333	1425450221.111152	169.7208053241911	339.4416106483822
8388608	1	5000	40	5	1159	0.6695551704217215	283644	0.00017	1425453012.809059	1425453012.808883	169.5819379449262	339.1638758898524
1048576	1	500	40	5	1184	0.6899766899766899	283001	0.000172	1425446783.491452	1425446783.491274	171.4294488786263	342.8588977572526
1048576	1	500	40	5	1157	0.668013856812933	282991	0.00017	1425449570.242772	1425449570.242597	169.4460394855183	338.8920789710365
1048576	1	500	40	5	1137	0.6779964221824687	282923	0.000169	1425452361.112039	1425452361.111864	171.0297261571606	342.0594523143212
1048576	1	10000	500	5	1121	0.6656769596199525	282991	0.000169	1425448252.38459	1425448252.384415	187.4323414376664	374.8646828753328
1048576	1	10000	500	5	1124	0.669446098868374	282981	0.000187	1425451040.670458	1425451040.670265	187.4304754973085	374.8609509946171
1048576	1	10000	500	5	1146	0.6741176470588235	282896	0.000171	1425453839.091842	1425453839.091666	187.4972251345328	374.9944502690655
131072	1	1000	500	5	1146	0.6674432149097262	281350	0.000168	1425447190.03701	1425447190.036836	187.5064083668005	375.012816733601
131072	1	1000	500	5	1111	0.6605231866825209	281471	0.000167	1425449975.99712	1425449975.996946	187.4201879316244	374.8403758632488
131072	1	1000	500	5	1099	0.6688983566646378	281536	0.000167	1425452764.551824	1425452764.551651	187.4362140214921	374.8724280429842
131072	1	50000	500	5	1148	0.6748971193415638	282650	0.000169	1425448926.538004	1425448926.53783	187.4434356035724	374.8868712071448
131072	1	50000	500	5	1135	0.6641310708016384	282650	0.000168	1425451714.567801	1425451714.567627	187.4363673944428	374.8727347888857
131072	1	50000	500	5	1106	0.6552132701421801	282650	0.000169	1425454511.662091	1425454511.661916	187.4462732624417	374.8925465248835
524288	1	5000	500	5	1120	0.6492753623188405	281547	0.000168	1425447584.762989	1425447584.762816	187.4411348621549	374.8822697243099
524288	1	5000	500	5	1137	0.6707964601769911	281516	0.000168	1425450367.607648	1425450367.607474	187.4123036923328	374.8246073846655
524288	1	5000	500	5	1128	0.6611957796014069	281562	0.000168	1425453160.174616	1425453160.174441	187.4297086832751	374.8594173665502
131072	1	10000	50	5	1790	0.6316160903316866	282392	0.000589	1425448111.949269	1425448111.948674	175.3363212924774	350.6726425849548
131072	1	10000	50	5	1171	0.6892289582107122	282411	0.000168	1425450900.320741	1425450900.320567	175.5867566308651	351.1735132617302
131072	1	10000	50	5	1158	0.685207100591716	282361	0.000169	1425453697.485647	1425453697.485471	175.5674669780169	351.1349339560338
1048576	1	1000	50	5	1172	0.684979544126242	282894	0.00017	1425447048.135519	1425447048.135342	175.5137698675655	351.0275397351311
1048576	1	1000	50	5	1154	0.6864961332540155	282991	0.00017	1425449834.357613	1425449834.357437	174.1685819637074	348.3371639274148
1048576	1	1000	50	5	1091	0.6470937129300118	282973	0.00017	1425452625.97779	1425452625.977614	175.254714816175	350.50942963235
131072	1	100	50	5	1114	0.6595618709295441	281536	0.000168	1425446671.674536	1425446671.674361	173.4384439283148	346.8768878566295
131072	1	100	50	5	1174	0.6743251005169443	281556	0.000175	1425449458.573327	1425449458.573145	174.0890509161152	348.1781018322303
131072	1	100	50	5	1119	0.6753168376584189	281536	0.000169	1425452248.967129	1425452248.966954	172.9342211697559	345.8684423395118
131072	1	50000	50	5	1180	0.6677985285795133	281765	0.00017	1425448787.655416	1425448787.65524	175.3499670476322	350.6999340952643
131072	1	50000	50	5	1906	0.6643429766469153	281778	0.000607	1425451575.24458	1425451575.243967	175.2458879853519	350.4917759707037
131072	1	50000	50	5	1865	0.6371711650153741	281727	0.000598	1425454372.725353	1425454372.724748	175.2234338546899	350.4468677093799
