module:pub_input::iter	module:pub_input::its	module:pub_input::numElem	module:pub_input::numNode	module:pub_input::nx	module:pub_input::phase	module:measure:time:time
0	300	3375	4096	15	0	0.004688
0	300	3375	4096	15	0	0.004692
0	400	3375	4096	15	0	0.004693
0	400	3375	4096	15	0	0.004693
0	400	3375	4096	15	0	0.004681
0	50	3375	4096	15	0	0.004698
0	50	3375	4096	15	0	0.004679
0	50	3375	4096	15	0	0.004689
0	500	3375	4096	15	0	0.004674
0	500	3375	4096	15	0	0.004708
0	500	3375	4096	15	0	0.00469
0	600	3375	4096	15	0	0.004705
0	600	3375	4096	15	0	0.004687
0	600	3375	4096	15	0	0.004698
0	100	8000	9261	20	0	0.013672
0	100	8000	9261	20	0	0.013629
0	100	8000	9261	20	0	0.01366
0	20	8000	9261	20	0	0.013685
0	20	8000	9261	20	0	0.013699
0	20	8000	9261	20	0	0.013683
0	200	8000	9261	20	0	0.013714
0	200	8000	9261	20	0	0.013687
0	200	8000	9261	20	0	0.013653
0	30	8000	9261	20	0	0.013677
0	30	8000	9261	20	0	0.013685
0	30	8000	9261	20	0	0.013701
0	300	8000	9261	20	0	0.013644
0	300	8000	9261	20	0	0.013672
0	300	8000	9261	20	0	0.013692
0	400	8000	9261	20	0	0.013665
0	400	8000	9261	20	0	0.013645
0	400	8000	9261	20	0	0.013686
0	50	8000	9261	20	0	0.014105
0	50	8000	9261	20	0	0.013669
0	50	8000	9261	20	0	0.013696
0	500	8000	9261	20	0	0.013689
0	500	8000	9261	20	0	0.013686
0	500	8000	9261	20	0	0.01365
0	600	8000	9261	20	0	0.013664
0	600	8000	9261	20	0	0.013658
0	600	8000	9261	20	0	0.013649
0	100	10648	12167	22	0	0.015231
0	100	10648	12167	22	0	0.015237
0	100	10648	12167	22	0	0.015248
0	20	10648	12167	22	0	0.015207
0	20	10648	12167	22	0	0.015247
0	20	10648	12167	22	0	0.015211
0	200	10648	12167	22	0	0.015206
0	200	10648	12167	22	0	0.015219
0	200	10648	12167	22	0	0.015217
0	30	10648	12167	22	0	0.015709
0	30	10648	12167	22	0	0.015249
0	30	10648	12167	22	0	0.015229
0	300	10648	12167	22	0	0.01522
0	300	10648	12167	22	0	0.015217
0	300	10648	12167	22	0	0.015266
0	400	10648	12167	22	0	0.015213
0	400	10648	12167	22	0	0.015225
0	400	10648	12167	22	0	0.015199
0	50	10648	12167	22	0	0.015673
0	50	10648	12167	22	0	0.01527
0	50	10648	12167	22	0	0.015229
0	500	10648	12167	22	0	0.01522
0	500	10648	12167	22	0	0.015256
0	500	10648	12167	22	0	0.015241
0	600	10648	12167	22	0	0.015229
0	600	10648	12167	22	0	0.015241
0	600	10648	12167	22	0	0.015707
0	100	15625	17576	25	0	0.027472
0	100	15625	17576	25	0	0.027241
0	100	15625	17576	25	0	0.027235
0	20	15625	17576	25	0	0.027219
0	20	15625	17576	25	0	0.027227
0	20	15625	17576	25	0	0.027269
0	200	15625	17576	25	0	0.027217
0	200	15625	17576	25	0	0.027458
0	200	15625	17576	25	0	0.027288
0	30	15625	17576	25	0	0.027219
0	30	15625	17576	25	0	0.027257
0	30	15625	17576	25	0	0.02724
0	300	15625	17576	25	0	0.027237
0	300	15625	17576	25	0	0.027242
0	300	15625	17576	25	0	0.027269
0	400	15625	17576	25	0	0.027246
0	400	15625	17576	25	0	0.027286
0	400	15625	17576	25	0	0.027484
0	50	15625	17576	25	0	0.027204
0	50	15625	17576	25	0	0.027262
0	50	15625	17576	25	0	0.027263
0	500	15625	17576	25	0	0.027266
0	500	15625	17576	25	0	0.027189
0	500	15625	17576	25	0	0.027226
0	600	15625	17576	25	0	0.027228
0	600	15625	17576	25	0	0.027236
0	600	15625	17576	25	0	0.027238
0	100	21952	24389	28	0	0.033833
0	100	21952	24389	28	0	0.033882
0	100	21952	24389	28	0	0.03383
0	20	21952	24389	28	0	0.033923
0	20	21952	24389	28	0	0.033795
0	20	21952	24389	28	0	0.034922
0	200	21952	24389	28	0	0.033831
0	200	21952	24389	28	0	0.033814
0	200	21952	24389	28	0	0.033861
0	30	21952	24389	28	0	0.033907
0	30	21952	24389	28	0	0.03389
0	30	21952	24389	28	0	0.033928
0	300	21952	24389	28	0	0.033847
0	300	21952	24389	28	0	0.033879
0	300	21952	24389	28	0	0.033825
0	400	21952	24389	28	0	0.033804
0	400	21952	24389	28	0	0.033792
0	400	21952	24389	28	0	0.033886
0	50	21952	24389	28	0	0.033811
0	50	21952	24389	28	0	0.033836
0	50	21952	24389	28	0	0.033855
0	500	21952	24389	28	0	0.033818
0	500	21952	24389	28	0	0.033851
0	500	21952	24389	28	0	0.033911
