module:input:0:dim1	module:input:0:dim2	module:input:0:dim3	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:rssUsage	module:output:0:vmUsage
6	6	6	0.000331	1425382762.298419	1425382762.298077	1220	128
700	700	700	7.027484	1425373365.800794	1425373358.773218	8888	11624
700	700	700	7.025719	1425378085.800806	1425378078.774995	8888	11624
700	700	700	7.026236	1425382806.4007	1425382799.374366	8888	11624
70	70	70	0.007422	1425373336.069088	1425373336.061654	1332	344
70	70	70	0.007416	1425378056.133235	1425378056.125808	1332	344
70	70	70	0.007425	1425382776.712342	1425382776.704905	1332	344
800	800	800	10.483664	1425373377.432655	1425373366.948897	12404	15140
800	800	800	10.480469	1425378097.426162	1425378086.945601	12404	15140
800	800	800	10.484041	1425382818.02918	1425382807.545047	12404	15140
110	110	110	0.028008	1425373340.636052	1425373340.608032	1440	512
80	80	80	0.010928	1425373337.209691	1425373337.198752	1368	276
80	80	80	0.010899	1425378057.276239	1425378057.265329	1368	276
80	80	80	0.011133	1425382777.843269	1425382777.832126	1368	276
8	8	8	0.000347	1425373322.717356	1425373322.716998	1220	128
8	8	8	0.000372	1425378042.752455	1425378042.752071	1220	128
8	8	8	0.000337	1425382763.413222	1425382763.412875	1220	128
900	900	900	14.909236	1425373393.519883	1425373378.610554	16388	19124
900	900	900	14.904704	1425378113.490991	1425378098.586192	16388	19124
900	900	900	14.907284	1425382834.102866	1425382819.195487	16388	19124
90	90	90	0.015356	1425373338.341073	1425373338.325706	1408	316
