input:inputSize	input:crf	input:Bitrate	input:scalingRatio	measure:time	measure:benchtime	measure:PAPI_L2_DCM	measure:PAPI_FP_INS	measure:PSNR	measure:outBitrate
2634649	20	0	0	16274.4602	178.8128	21115848	17868481	44.507	5989.90
2634649	20	0	0	16178.8401	179.2218	21254791	17863704	44.507	5989.90
2634649	20	0	0	16200.2939	178.7898	21086347	17866933	44.507	5989.90
3474735	35	0	0	20027.1790	166.3097	26827731	21270507	33.489	1066.60
3474735	35	0	0	20100.4329	166.1677	26760340	21274933	33.489	1066.60
3474735	35	0	0	19970.4290	166.1697	26794909	21269898	33.489	1066.60
4759483	23	0	0	25742.3330	274.5803	32874918	24683181	41.661	5013.54
4759483	23	0	0	25759.0400	274.3373	32838022	24681505	41.661	5013.54
927395	30	0	0	5822.1750	54.2987	9357186	11152302	37.153	1132.57
4759483	23	0	0	25651.1230	274.4143	32780981	24682694	41.661	5013.54
3474735	25	0	0	20915.7578	209.9741	26879195	21264045	40.089	3686.51
3474735	25	0	0	21036.1250	210.0251	26906210	21268557	40.089	3686.51
3474735	25	0	0	20955.6382	210.0441	26915190	21264964	40.089	3686.51
927395	40	0	0	5501.5149	48.4276	9368508	11156264	31.177	353.38
927395	40	0	0	5521.6960	48.4486	9420211	11153899	31.177	353.38
927395	40	0	0	5446.3689	48.5316	9309096	11155118	31.177	353.38
2634649	25	0	0	15661.2380	159.6867	21035832	17867911	40.207	3017.40
2634649	25	0	0	15584.1711	159.5387	21061816	17868124	40.207	3017.40
2634649	25	0	0	15634.3191	159.6787	21093676	17867138	40.207	3017.40
