module:pub_input::iter	module:pub_input::its	module:pub_input::numElem	module:pub_input::numNode	module:pub_input::nx	module:pub_input::phase	module:measure:time:time
0	300	10648	12167	22	0	0.08335099999999999
0	300	10648	12167	22	0	0.082967
0	300	10648	12167	22	0	0.083532
0	400	10648	12167	22	0	0.08287
0	400	10648	12167	22	0	0.083074
0	400	10648	12167	22	0	0.083257
0	50	10648	12167	22	0	0.085447
0	50	10648	12167	22	0	0.083102
0	50	10648	12167	22	0	0.08341700000000001
0	500	10648	12167	22	0	0.08335099999999999
0	500	10648	12167	22	0	0.083161
0	500	10648	12167	22	0	0.08332000000000001
0	600	10648	12167	22	0	0.083094
0	600	10648	12167	22	0	0.083172
0	600	10648	12167	22	0	0.084262
0	100	15625	17576	25	0	0.114849
0	100	15625	17576	25	0	0.115475
0	100	15625	17576	25	0	0.115232
0	20	15625	17576	25	0	0.115347
0	20	15625	17576	25	0	0.114929
0	20	15625	17576	25	0	0.115219
0	200	15625	17576	25	0	0.115113
0	200	15625	17576	25	0	0.115258
0	200	15625	17576	25	0	0.115262
0	30	15625	17576	25	0	0.11514
0	30	15625	17576	25	0	0.114813
0	30	15625	17576	25	0	0.115149
0	300	15625	17576	25	0	0.114932
0	300	15625	17576	25	0	0.115428
0	300	15625	17576	25	0	0.115383
0	400	15625	17576	25	0	0.115232
0	400	15625	17576	25	0	0.114926
0	400	15625	17576	25	0	0.115001
0	50	15625	17576	25	0	0.114859
0	50	15625	17576	25	0	0.115175
0	50	15625	17576	25	0	0.115249
0	500	15625	17576	25	0	0.115121
0	500	15625	17576	25	0	0.114805
0	500	15625	17576	25	0	0.115283
0	600	15625	17576	25	0	0.115166
0	600	15625	17576	25	0	0.114994
0	600	15625	17576	25	0	0.114853
0	100	21952	24389	28	0	0.147007
0	100	21952	24389	28	0	0.147366
0	100	21952	24389	28	0	0.147151
0	20	21952	24389	28	0	0.146863
0	20	21952	24389	28	0	0.147018
0	20	21952	24389	28	0	0.151674
0	200	21952	24389	28	0	0.147119
0	200	21952	24389	28	0	0.147216
0	200	21952	24389	28	0	0.147038
0	30	21952	24389	28	0	0.146837
0	30	21952	24389	28	0	0.147165
0	30	21952	24389	28	0	0.147606
0	300	21952	24389	28	0	0.147327
0	300	21952	24389	28	0	0.147187
0	300	21952	24389	28	0	0.14709
0	400	21952	24389	28	0	0.147174
0	400	21952	24389	28	0	0.147204
0	400	21952	24389	28	0	0.147223
0	50	21952	24389	28	0	0.146874
0	50	21952	24389	28	0	0.147
0	50	21952	24389	28	0	0.147203
0	500	21952	24389	28	0	0.147314
0	500	21952	24389	28	0	0.147335
0	500	21952	24389	28	0	0.147174
0	600	21952	24389	28	0	0.147339
0	600	21952	24389	28	0	0.147265
0	600	21952	24389	28	0	0.14713
0	100	27000	29791	30	0	0.170658
0	100	27000	29791	30	0	0.17071
0	100	27000	29791	30	0	0.170535
0	20	27000	29791	30	0	0.170747
0	20	27000	29791	30	0	0.170788
0	20	27000	29791	30	0	0.170766
0	200	27000	29791	30	0	0.171067
0	200	27000	29791	30	0	0.170731
0	200	27000	29791	30	0	0.170777
0	30	27000	29791	30	0	0.170423
0	30	27000	29791	30	0	0.170897
0	30	27000	29791	30	0	0.170958
0	300	27000	29791	30	0	0.170588
0	300	27000	29791	30	0	0.170744
0	300	27000	29791	30	0	0.170491
0	400	27000	29791	30	0	0.17106
0	400	27000	29791	30	0	0.170626
0	400	27000	29791	30	0	0.170679
0	50	27000	29791	30	0	0.170441
0	50	27000	29791	30	0	0.170856
0	50	27000	29791	30	0	0.171108
0	500	27000	29791	30	0	0.170888
0	500	27000	29791	30	0	0.170822
0	500	27000	29791	30	0	0.170657
0	600	27000	29791	30	0	0.17059
0	600	27000	29791	30	0	0.171059
0	600	27000	29791	30	0	0.170931
0	100	42875	46656	35	0	0.24416
0	100	42875	46656	35	0	0.244123
0	100	42875	46656	35	0	0.245125
0	20	42875	46656	35	0	0.24398
0	20	42875	46656	35	0	0.24443
0	20	42875	46656	35	0	0.250214
0	200	42875	46656	35	0	0.244336
0	200	42875	46656	35	0	0.244384
0	200	42875	46656	35	0	0.244082
0	30	42875	46656	35	0	0.244025
0	30	42875	46656	35	0	0.244433
0	30	42875	46656	35	0	0.245174
0	300	42875	46656	35	0	0.251875
0	300	42875	46656	35	0	0.244876
0	300	42875	46656	35	0	0.244
0	400	42875	46656	35	0	0.245005
0	400	42875	46656	35	0	0.244476
0	400	42875	46656	35	0	0.244146
0	50	42875	46656	35	0	0.244237
0	50	42875	46656	35	0	0.244472
0	50	42875	46656	35	0	0.244389
0	500	42875	46656	35	0	0.244495
0	500	42875	46656	35	0	0.24417
0	500	42875	46656	35	0	0.244318
0	600	42875	46656	35	0	0.244716
0	600	42875	46656	35	0	0.245083
0	600	42875	46656	35	0	0.244737
0	100	64000	68921	40	0	0.347543
0	100	64000	68921	40	0	0.347714
0	100	64000	68921	40	0	0.34815
0	20	64000	68921	40	0	0.347658
0	20	64000	68921	40	0	0.348028
0	20	64000	68921	40	0	0.348183
0	200	64000	68921	40	0	0.347353
0	200	64000	68921	40	0	0.34816
0	200	64000	68921	40	0	0.347516
0	30	64000	68921	40	0	0.347546
0	30	64000	68921	40	0	0.348098
0	30	64000	68921	40	0	0.347886
0	300	64000	68921	40	0	0.347718
