module:input:0:alpha	module:input:0:density	module:input:0:numVertex	module:measure:PAPI:PAPI_LD_INS	module:measure:PAPI:PAPI_TOT_INS	module:measure:time:time	module:measure:timestamp:End	module:measure:timestamp:Start	module:output:0:diff	module:output:0:num_iterations
0.5	0	100000	137339470	363350083	0.07051300000000001	1426614662.975301	1426614662.904782	1.587447149619481e-06	10
0.7	0	100000	151214546	400037897	0.077485	1426613366.647659	1426613366.570167	5.976866238464073e-06	11
0.7	0	100000	151214521	400037897	0.077539	1426614015.486453	1426614015.408906	5.976866238464073e-06	11
0.7	0	100000	151214520	400037897	0.077435	1426614664.540283	1426614664.462841	5.976866238464073e-06	11
0.8	0	100000	165089453	436725711	0.084549	1426613368.214564	1426613368.130008	4.393508900210206e-06	12
0.8	0	100000	165089478	436725711	0.084658	1426614017.057653	1426614016.972989	4.393508900210206e-06	12
0.8	0	100000	165089593	436725711	0.084622	1426614666.119443	1426614666.034815	4.393508900210206e-06	12
0.99	0	100000	192839561	510101340	0.098886	1426613371.372997	1426613371.274104	2.106759868746662e-06	14
0.99	0	100000	192839654	510101340	0.098533	1426614020.236935	1426614020.138395	2.106759868746662e-06	14
0.99	0	100000	192839485	510101339	0.098481	1426614669.288473	1426614669.189986	2.106759868746662e-06	14
0.9	0	100000	178964477	473413525	0.09167400000000001	1426613369.784369	1426613369.692688	3.255571240278272e-06	13
0.9	0	100000	178964631	473413525	0.091615	1426614018.642064	1426614018.550442	3.255571240278272e-06	13
0.9	0	100000	178964468	473413525	0.091449	1426614667.700398	1426614667.608943	3.255571240278272e-06	13
0.3	0	100000	106192592	281386018	0.054983	1426613373.00837	1426613372.953379	9.703676124179605e-06	7
0.3	0	100000	106192641	281386019	0.055014	1426614021.834671	1426614021.77965	9.703676124179605e-06	7
0.3	0	100000	106192729	281386018	0.054785	1426614670.888147	1426614670.833356	9.703676124179605e-06	7
0.5	0	100000	136966867	362869490	0.07034600000000001	1426613374.616763	1426613374.54641	4.027696535440317e-06	9
0.5	0	100000	136966768	362869490	0.070302	1426614023.451071	1426614023.380761	4.027696535440317e-06	9
0.5	0	100000	136967014	362869491	0.070254	1426614672.508869	1426614672.438601	4.027696535440317e-06	9
0.7	0	100000	152353566	403611226	0.078055	1426613376.228613	1426613376.150548	9.69734080890036e-06	10
0.7	0	100000	152354116	403611226	0.078114	1426614025.073881	1426614024.99576	9.69734080890036e-06	10
0.7	0	100000	152354005	403611226	0.078073	1426614674.130292	1426614674.052213	9.69734080890036e-06	10
0.8	0	100000	167741041	444352962	0.085951	1426613377.845525	1426613377.759567	5.553805057708525e-06	11
0.8	0	100000	167741080	444352961	0.08582099999999999	1426614026.705542	1426614026.619714	5.553805057708525e-06	11
0.8	0	100000	167741309	444352961	0.08593000000000001	1426614675.763442	1426614675.677506	5.553805057708525e-06	11
0.99	0	100000	183128075	485094698	0.093634	1426613381.123785	1426613381.030144	9.626875542950273e-06	12
0.99	0	100000	183128266	485094700	0.09381	1426614029.976832	1426614029.883014	9.626875542950273e-06	12
0.99	0	100000	183128304	485094697	0.093793	1426614679.040223	1426614678.946422	9.626875542950273e-06	12
0.9	0	100000	183128229	485094698	0.09364	1426613379.479182	1426613379.385535	3.323713726610721e-06	12
0.9	0	100000	183128311	485094699	0.09375500000000001	1426614028.342804	1426614028.249043	3.323713726610721e-06	12
0.9	0	100000	183128214	485094697	0.093543	1426614677.404875	1426614677.311324	3.323713726610721e-06	12
0.3	0	100000	132381831	351222553	0.070079	1426613382.786381	1426613382.716295	9.045743655227539e-07	8
0.3	0	100000	132382288	351222555	0.07012699999999999	1426614031.643727	1426614031.573593	9.045743655227539e-07	8
0.3	0	100000	132381941	351222554	0.070247	1426614680.711643	1426614680.641389	9.045743655227539e-07	8
