module:input:0:its	module:input:0:nx	module:input:1:MaxAbsDiff	module:input:1:MaxRelDiff	module:input:1:TotalAbsDiff	module:input:1:iter	module:input:1:numElem	module:input:1:numNode	module:input:1:phase	module:pub_input::its	module:pub_input::nx	module:measure:time:time	module:output:0:MaxAbsDiff	module:output:0:MaxRelDiff	module:output:0:TotalAbsDiff
30	25	0	0	0	0	15625	17576	0	30	25	3.135195	2.6702880859375e-05	0.01864496804773808	3.068646037718281e-05
30	25	0	0	0	0	15625	17576	0	30	25	3.134759	2.6702880859375e-05	0.01864496804773808	3.068646037718281e-05
300	25	0	0	0	0	15625	17576	0	300	25	23.885569	0.013671875	0.002175007946789265	0.1431253701448441
300	25	0	0	0	0	15625	17576	0	300	25	23.901528	0.013671875	0.002175007946789265	0.1431253701448441
300	25	0	0	0	0	15625	17576	0	300	25	23.887985	0.013671875	0.002175007946789265	0.1431253701448441
400	25	0	0	0	0	15625	17576	0	400	25	23.960096	0.013671875	0.002175007946789265	0.1431253701448441
400	25	0	0	0	0	15625	17576	0	400	25	23.890833	0.013671875	0.002175007946789265	0.1431253701448441
400	25	0	0	0	0	15625	17576	0	400	25	23.897082	0.013671875	0.002175007946789265	0.1431253701448441
50	25	0	0	0	0	15625	17576	0	50	25	5.230158	0.015625	3.617114998633042e-05	0.05990748479962349
50	25	0	0	0	0	15625	17576	0	50	25	5.216577	0.015625	3.617114998633042e-05	0.05990748479962349
50	25	0	0	0	0	15625	17576	0	50	25	5.215238	0.015625	3.617114998633042e-05	0.05990748479962349
500	25	0	0	0	0	15625	17576	0	500	25	23.961089	0.013671875	0.002175007946789265	0.1431253701448441
500	25	0	0	0	0	15625	17576	0	500	25	23.883881	0.013671875	0.002175007946789265	0.1431253701448441
500	25	0	0	0	0	15625	17576	0	500	25	23.907871	0.013671875	0.002175007946789265	0.1431253701448441
600	25	0	0	0	0	15625	17576	0	600	25	23.893761	0.013671875	0.002175007946789265	0.1431253701448441
600	25	0	0	0	0	15625	17576	0	600	25	23.890542	0.013671875	0.002175007946789265	0.1431253701448441
600	25	0	0	0	0	15625	17576	0	600	25	23.881735	0.013671875	0.002175007946789265	0.1431253701448441
100	28	0	0	0	0	21952	24389	0	100	28	13.611229	0.046875	0.000176403351360932	0.2387199401855469
100	28	0	0	0	0	21952	24389	0	100	28	13.626783	0.046875	0.000176403351360932	0.2387199401855469
100	28	0	0	0	0	21952	24389	0	100	28	13.609288	0.046875	0.000176403351360932	0.2387199401855469
20	28	0	0	0	0	21952	24389	0	20	28	2.726315	0.0625	0.0004532300808932632	0.07080459594726562
20	28	0	0	0	0	21952	24389	0	20	28	2.72659	0.0625	0.0004532300808932632	0.07080459594726562
20	28	0	0	0	0	21952	24389	0	20	28	2.737578	0.0625	0.0004532300808932632	0.07080459594726562
200	28	0	0	0	0	21952	24389	0	200	28	27.228151	0.0625	0.0002294881123816594	0.3615925312042236
200	28	0	0	0	0	21952	24389	0	200	28	27.226553	0.0625	0.0002294881123816594	0.3615925312042236
200	28	0	0	0	0	21952	24389	0	200	28	27.237007	0.0625	0.0002294881123816594	0.3615925312042236
30	28	0	0	0	0	21952	24389	0	30	28	4.086005	0.10546875	0.0125072356313467	0.1074871122837067
30	28	0	0	0	0	21952	24389	0	30	28	4.087884	0.10546875	0.0125072356313467	0.1074871122837067
30	28	0	0	0	0	21952	24389	0	30	28	4.088404	0.10546875	0.0125072356313467	0.1074871122837067
300	28	0	0	0	0	21952	24389	0	300	28	36.646052	0.01953125	0.0004224791482556611	0.2495294362306595
300	28	0	0	0	0	21952	24389	0	300	28	36.633993	0.01953125	0.0004224791482556611	0.2495294362306595
300	28	0	0	0	0	21952	24389	0	300	28	36.644866	0.01953125	0.0004224791482556611	0.2495294362306595
400	28	0	0	0	0	21952	24389	0	400	28	36.646216	0.01953125	0.0004224791482556611	0.2495294362306595
400	28	0	0	0	0	21952	24389	0	400	28	36.629365	0.01953125	0.0004224791482556611	0.2495294362306595
400	28	0	0	0	0	21952	24389	0	400	28	36.640284	0.01953125	0.0004224791482556611	0.2495294362306595
50	28	0	0	0	0	21952	24389	0	50	28	6.807932	0.09375	0.01136650331318378	0.1761869639158249
50	28	0	0	0	0	21952	24389	0	50	28	6.812793	0.09375	0.01136650331318378	0.1761869639158249
50	28	0	0	0	0	21952	24389	0	50	28	6.808998	0.09375	0.01136650331318378	0.1761869639158249
500	28	0	0	0	0	21952	24389	0	500	28	36.627927	0.01953125	0.0004224791482556611	0.2495294362306595
500	28	0	0	0	0	21952	24389	0	500	28	36.642665	0.01953125	0.0004224791482556611	0.2495294362306595
500	28	0	0	0	0	21952	24389	0	500	28	36.641542	0.01953125	0.0004224791482556611	0.2495294362306595
600	28	0	0	0	0	21952	24389	0	600	28	36.624198	0.01953125	0.0004224791482556611	0.2495294362306595
600	28	0	0	0	0	21952	24389	0	600	28	36.637228	0.01953125	0.0004224791482556611	0.2495294362306595
600	28	0	0	0	0	21952	24389	0	600	28	36.645137	0.01953125	0.0004224791482556611	0.2495294362306595
100	30	0	0	0	0	27000	29791	0	100	30	15.956936	0.0390625	0.001186160603538156	0.1598068326711655
100	30	0	0	0	0	27000	29791	0	100	30	15.954097	0.0390625	0.001186160603538156	0.1598068326711655
100	30	0	0	0	0	27000	29791	0	100	30	15.96205	0.0390625	0.001186160603538156	0.1598068326711655
20	30	0	0	0	0	27000	29791	0	20	30	3.195388	0.0625	4.655171142076142e-05	0.06262433528900146
20	30	0	0	0	0	27000	29791	0	20	30	3.193831	0.0625	4.655171142076142e-05	0.06262433528900146
20	30	0	0	0	0	27000	29791	0	20	30	3.19453	0.0625	4.655171142076142e-05	0.06262433528900146
200	30	0	0	0	0	27000	29791	0	200	30	31.968266	0.0625	7.052556611597538e-05	0.2784542441368103
200	30	0	0	0	0	27000	29791	0	200	30	31.894028	0.0625	7.052556611597538e-05	0.2784542441368103
200	30	0	0	0	0	27000	29791	0	200	30	31.896065	0.0625	7.052556611597538e-05	0.2784542441368103
30	30	0	0	0	0	27000	29791	0	30	30	4.788789	0.125	0.0006693672039546072	0.1506070494651794
30	30	0	0	0	0	27000	29791	0	30	30	4.790788	0.125	0.0006693672039546072	0.1506070494651794
30	30	0	0	0	0	27000	29791	0	30	30	4.791465	0.125	0.0006693672039546072	0.1506070494651794
300	30	0	0	0	0	27000	29791	0	300	30	47.048395	0.03125	0.003967289347201586	0.2773951888084412
300	30	0	0	0	0	27000	29791	0	300	30	47.082887	0.03125	0.003967289347201586	0.2773951888084412
300	30	0	0	0	0	27000	29791	0	300	30	47.032541	0.03125	0.003967289347201586	0.2773951888084412
400	30	0	0	0	0	27000	29791	0	400	30	47.070055	0.03125	0.003967289347201586	0.2773951888084412
400	30	0	0	0	0	27000	29791	0	400	30	47.100023	0.03125	0.003967289347201586	0.2773951888084412
400	30	0	0	0	0	27000	29791	0	400	30	47.075942	0.03125	0.003967289347201586	0.2773951888084412
50	30	0	0	0	0	27000	29791	0	50	30	7.973905	0.0625	0.0001327528152614832	0.2027058005332947
50	30	0	0	0	0	27000	29791	0	50	30	7.975886	0.0625	0.0001327528152614832	0.2027058005332947
50	30	0	0	0	0	27000	29791	0	50	30	7.984027	0.0625	0.0001327528152614832	0.2027058005332947
500	30	0	0	0	0	27000	29791	0	500	30	47.058455	0.03125	0.003967289347201586	0.2773951888084412
500	30	0	0	0	0	27000	29791	0	500	30	47.068082	0.03125	0.003967289347201586	0.2773951888084412
500	30	0	0	0	0	27000	29791	0	500	30	47.06231	0.03125	0.003967289347201586	0.2773951888084412
600	30	0	0	0	0	27000	29791	0	600	30	47.074606	0.03125	0.003967289347201586	0.2773951888084412
600	30	0	0	0	0	27000	29791	0	600	30	47.090641	0.03125	0.003967289347201586	0.2773951888084412
600	30	0	0	0	0	27000	29791	0	600	30	47.071434	0.03125	0.003967289347201586	0.2773951888084412
100	35	0	0	0	0	42875	46656	0	100	35	23.257901	0.078125	0.002037980128079653	0.3147234916687012
100	35	0	0	0	0	42875	46656	0	100	35	23.259926	0.078125	0.002037980128079653	0.3147234916687012
100	35	0	0	0	0	42875	46656	0	100	35	23.268135	0.078125	0.002037980128079653	0.3147234916687012
20	35	0	0	0	0	42875	46656	0	20	35	4.652658	0.0625	0.001576214330270886	0.08350764960050583
20	35	0	0	0	0	42875	46656	0	20	35	4.65698	0.0625	0.001576214330270886	0.08350764960050583
20	35	0	0	0	0	42875	46656	0	20	35	4.663221	0.0625	0.001576214330270886	0.08350764960050583
